name;causality;reference;start_value
abs_in;input;0;30.0
concOutA1_1;output;1;
concOutA1_2;output;2;
concOutA1_3;output;3;
concOutA1_4;output;4;
concOutA1_5;output;5;
concOutA1_6;output;6;
concOutA1_7;output;7;
concOutA2_1;output;8;
concOutA2_2;output;9;
concOutA2_3;output;10;
concOutA2_4;output;11;
concOutA2_5;output;12;
concOutA2_6;output;13;
concOutA2_7;output;14;
concOutA3_1;output;15;
concOutA3_2;output;16;
concOutA3_3;output;17;
concOutA3_4;output;18;
concOutA3_5;output;19;
concOutA3_6;output;20;
concOutA3_7;output;21;
concOutC_1;output;22;
concOutC_2;output;23;
concOutC_3;output;24;
concOutC_4;output;25;
concOutC_5;output;26;
concOutC_6;output;27;
concOutC_7;output;28;
power[1];input;29;100.0
power[2];input;30;100.0
power[3];input;31;100.0
rho_a1_in;input;32;100000.0
rho_a2_in;input;33;10000.0
rho_a3_in;input;34;1000.0
rho_c_in;input;35;0.1
vel_prof[1,1];input;36;10.0
vel_prof[1,2];input;37;10.0
vel_prof[1,3];input;38;10.0
vel_prof[1,4];input;39;10.0
vel_prof[1,5];input;40;10.0
vel_prof[1,6];input;41;10.0
vel_prof[1,7];input;42;10.0
vel_prof[1,8];input;43;10.0
vel_prof[2,1];input;44;10.0
vel_prof[2,2];input;45;10.0
vel_prof[2,3];input;46;10.0
vel_prof[2,4];input;47;10.0
vel_prof[2,5];input;48;10.0
vel_prof[2,6];input;49;10.0
vel_prof[2,7];input;50;10.0
vel_prof[2,8];input;51;10.0
vel_prof[3,1];input;52;10.0
vel_prof[3,2];input;53;10.0
vel_prof[3,3];input;54;10.0
vel_prof[3,4];input;55;10.0
vel_prof[3,5];input;56;10.0
vel_prof[3,6];input;57;10.0
vel_prof[3,7];input;58;10.0
vel_prof[3,8];input;59;10.0
vel_prof[4,1];input;60;10.0
vel_prof[4,2];input;61;10.0
vel_prof[4,3];input;62;10.0
vel_prof[4,4];input;63;10.0
vel_prof[4,5];input;64;10.0
vel_prof[4,6];input;65;10.0
vel_prof[4,7];input;66;10.0
vel_prof[4,8];input;67;10.0
vel_prof[5,1];input;68;10.0
vel_prof[5,2];input;69;10.0
vel_prof[5,3];input;70;10.0
vel_prof[5,4];input;71;10.0
vel_prof[5,5];input;72;10.0
vel_prof[5,6];input;73;10.0
vel_prof[5,7];input;74;10.0
vel_prof[5,8];input;75;10.0
vel_prof[6,1];input;76;10.0
vel_prof[6,2];input;77;10.0
vel_prof[6,3];input;78;10.0
vel_prof[6,4];input;79;10.0
vel_prof[6,5];input;80;10.0
vel_prof[6,6];input;81;10.0
vel_prof[6,7];input;82;10.0
vel_prof[6,8];input;83;10.0
vel_prof[7,1];input;84;10.0
vel_prof[7,2];input;85;10.0
vel_prof[7,3];input;86;10.0
vel_prof[7,4];input;87;10.0
vel_prof[7,5];input;88;10.0
vel_prof[7,6];input;89;10.0
vel_prof[7,7];input;90;10.0
vel_prof[7,8];input;91;10.0
vel_prof[8,1];input;92;10.0
vel_prof[8,2];input;93;10.0
vel_prof[8,3];input;94;10.0
vel_prof[8,4];input;95;10.0
vel_prof[8,5];input;96;10.0
vel_prof[8,6];input;97;10.0
vel_prof[8,7];input;98;10.0
vel_prof[8,8];input;99;10.0
vel_prof[9,1];input;100;10.0
vel_prof[9,2];input;101;10.0
vel_prof[9,3];input;102;10.0
vel_prof[9,4];input;103;10.0
vel_prof[9,5];input;104;10.0
vel_prof[9,6];input;105;10.0
vel_prof[9,7];input;106;10.0
vel_prof[9,8];input;107;10.0
vel_prof[10,1];input;108;10.0
vel_prof[10,2];input;109;10.0
vel_prof[10,3];input;110;10.0
vel_prof[10,4];input;111;10.0
vel_prof[10,5];input;112;10.0
vel_prof[10,6];input;113;10.0
vel_prof[10,7];input;114;10.0
vel_prof[10,8];input;115;10.0
vfr;input;116;0.20833
I;parameter;0;3
M;calculatedParameter;1;
N;calculatedParameter;2;
